"id","name","created_at","updated_at"
832,Finca La Morelia,2019-12-20 15:51:09.707,2019-12-20 15:51:09.707
879,La Plata,2020-01-23 21:00:39.335,2020-01-23 21:00:39.335
882,La Frontera,2020-01-24 19:55:31.600,2020-01-24 19:55:31.600
895,Granja La Esperanza,2020-04-14 16:08:42.415,2020-04-14 16:08:42.415
911,Fazenda Aurea,2020-04-29 01:14:28.938,2020-04-29 01:14:28.938
928,La Pena,2020-05-12 20:23:48.655,2020-05-12 20:23:48.655
943,Finca El Triunfo,2020-05-26 16:42:09.457,2020-05-26 16:42:09.457
957,Finca Moreno,2020-06-23 19:49:20.802,2020-06-23 19:49:20.802
968,Finca La Piragua,2020-12-26 14:11:34.941,2020-12-26 14:11:34.941
243,Beneficio Pedra Branca,2018-11-19 13:38:52.113,2018-11-19 13:38:52.113
244,Finca Los Andes ,2018-11-21 13:35:53.182,2018-11-21 13:35:53.182
249,El Pantanal,2018-11-23 13:39:01.245,2018-11-23 13:39:01.245
255,Finca La Guaca,2018-11-30 13:55:19.827,2018-11-30 13:55:19.827
258,Cañas Verdes,2018-12-01 22:12:03.488,2018-12-01 22:12:03.488
264,Finca Jauja,2018-12-04 01:41:40.275,2018-12-04 01:41:40.275
267,Ruva,2018-12-08 16:02:28.815,2018-12-08 16:02:28.815
271,San Jacinto,2018-12-09 01:10:45.843,2018-12-09 01:10:45.843
749,La Pastora,2019-11-08 20:28:57.749,2019-11-08 20:28:57.749
774,Finca Tacacal,2019-11-20 15:47:34.057,2019-11-20 15:47:34.057
798,Forquilha do Rio,2019-12-05 03:21:02.603,2019-12-05 03:21:02.603
818,Finca El Caracol,2019-12-13 21:04:19.572,2019-12-13 21:04:19.572
836,Evelio Fernandez,2020-01-01 20:52:01.893,2020-01-01 20:52:01.893
838,La Divina Providencia,2020-01-01 22:13:32.830,2020-01-01 22:13:32.830
839,Sitio Tres Barras,2020-01-02 00:25:03.430,2020-01-02 00:25:03.430
880,Apolo 11,2020-01-23 21:00:55.594,2020-01-23 21:00:55.594
