"id","name","created_at","updated_at"
234,Nano Challa,2019-05-29 13:38:41.393,2019-05-29 13:38:41.393
235,Nano Genji,2019-05-29 13:38:47.048,2019-05-29 13:38:47.048
236,La Casona de Doña Lina,2019-05-29 14:30:14.130,2019-05-29 14:30:14.130
237,Kercha Washing Station,2019-05-29 14:39:00.945,2019-05-29 14:39:00.945
238,Gedeb Mill,2019-05-29 14:56:31.182,2019-05-29 14:56:31.182
239,Gamede Dekama Washing Station,2019-05-31 13:07:08.198,2019-05-31 13:07:08.198
410,Ilomba Factory,2019-11-08 21:51:15.136,2019-11-08 21:51:15.136
418,La Cumbre Elementary,2019-11-19 16:34:01.291,2019-11-19 16:34:01.291
419,Uraga Sorting Station,2019-11-19 17:16:22.252,2019-11-19 17:16:22.252
422,Kyagalanyi Gibuzale Mill,2019-11-20 18:34:11.260,2019-11-20 18:34:11.260
430,Darii Kojowa Washing Station,2019-11-27 17:02:26.251,2019-11-27 17:02:26.251
441,Chelelektu,2019-12-13 21:26:42.189,2019-12-13 21:26:42.189
443,Bokasso Co-operative's Washing Station,2019-12-18 18:21:06.953,2019-12-18 18:21:06.953
448,Wete Ambela Coffee Export PLC's Haro Kuriso Washing Station,2019-12-19 19:25:57.791,2019-12-19 19:25:57.791
451,Loma La Gloria mill,2019-12-27 03:52:31.728,2019-12-27 03:52:31.728
457,CAFESMO Mill,2020-01-03 16:51:58.359,2020-01-03 16:51:58.359
466,Humure Washing Station,2020-03-30 22:02:48.300,2020-03-30 22:02:48.300
474,Rio Grande,2020-04-15 19:20:39.148,2020-04-15 19:20:39.148
480,Mirama washing station,2020-04-29 16:58:41.845,2020-04-29 16:58:41.845
486,Workeneh Tsegaye,2020-05-13 15:28:11.675,2020-05-13 15:28:11.675
493,Gatukuza,2020-05-25 02:52:48.861,2020-05-25 02:52:48.861
499,Gibuzaale,2020-09-12 22:18:17.769,2020-09-12 22:18:17.769
240,La Esperanza,2019-06-04 14:57:39.364,2019-06-04 14:57:39.364
222,Insani AMCOS Central Processing Unit,2019-04-28 22:40:45.994,2019-06-12 15:13:53.870
241,Gakenke,2019-06-19 18:34:33.833,2019-06-19 18:34:33.833
242,Triladoras Gaira y Agroeco,2019-06-22 19:12:46.256,2019-06-22 19:12:46.256
244,Githembe Factory,2019-06-27 22:49:37.660,2019-06-27 22:49:37.660
246,Tirtira Goyo,2019-06-28 19:29:33.192,2019-06-28 19:29:33.192
247,La Concepcion,2019-06-28 20:48:58.846,2019-06-28 20:48:58.846
248,AGRICAFE,2019-06-28 21:13:40.876,2019-06-28 21:13:40.876
249,Ch'Ire Ameli,2019-06-30 02:02:40.754,2019-06-30 02:02:40.754
250,Nebilyer Wet Mill,2019-07-01 19:33:43.068,2019-07-01 19:33:43.068
251,Suke Quto,2019-07-02 17:53:53.100,2019-07-02 17:53:53.100
252,Gathuiruini,2019-07-04 20:23:03.580,2019-07-04 20:23:03.580
253,Soloma Washing Station ,2019-07-08 20:23:19.823,2019-07-08 20:23:19.823
254,Café Rivense del Chirripó,2019-07-09 16:14:14.006,2019-07-09 16:14:14.006
255,Kilenso Mokonisa,2019-07-09 19:13:59.079,2019-07-09 19:13:59.079
257,Handege Factory,2019-07-12 21:41:24.052,2019-07-12 21:41:24.052
